habitable_surface,bedrooms_count,post_code,num_facade,target
175.0,5.0,1180,3.0,390000.0
130.0,3.0,5336,4.0,290000.0
200.0,3.0,2620,2.0,395000.0
167.0,4.0,1800,3.0,399000.0
201.0,5.0,1030,2.0,575000.0
145.0,2.0,2221,4.0,229000.0
77.0,2.0,4610,3.0,229000.0
155.0,3.0,7190,4.0,220000.0
99.0,3.0,2500,2.0,179000.0
225.0,4.0,2870,4.0,269000.0
110.0,2.0,1480,2.0,195000.0
276.0,5.0,8500,4.0,585000.0
142.0,3.0,1470,4.0,620000.0
230.0,4.0,1410,4.0,645000.0
259.0,3.0,3360,2.0,489000.0
205.0,4.0,4920,2.0,345000.0
100.0,2.0,6224,3.0,280000.0
110.0,2.0,2223,3.0,210000.0
242.0,3.0,2980,4.0,529000.0
173.0,3.0,4020,3.0,315000.0
107.0,3.0,1150,3.0,475000.0
260.0,3.0,2660,2.0,365000.0
173.0,3.0,4020,3.0,315000.0
216.0,5.0,2900,2.0,399000.0
153.0,3.0,6044,2.0,125000.0
245.0,5.0,6927,4.0,360000.0
152.0,3.0,2300,2.0,249000.0
367.0,4.0,1180,6.0,998000.0
201.0,3.0,1180,2.0,559000.0
120.0,3.0,1180,2.0,450000.0
165.0,3.0,3472,3.0,381370.0
358.0,5.0,1970,3.0,895000.0
220.0,4.0,1730,4.0,595000.0
173.0,3.0,4020,3.0,315000.0
107.0,3.0,1150,3.0,475000.0
100.0,2.0,6224,3.0,280000.0
77.0,2.0,4610,3.0,229000.0
184.0,4.0,1410,4.0,685000.0
160.0,3.0,1150,2.0,645000.0
183.0,4.0,4610,3.0,135000.0
160.0,4.0,4342,2.0,199000.0
136.0,2.0,4102,3.0,140000.0
119.0,2.0,7640,3.0,85000.0
158.0,3.0,2940,2.0,314000.0
260.0,4.0,1410,3.0,750000.0
107.0,3.0,7100,2.0,195000.0
77.0,2.0,4610,3.0,229000.0
154.0,2.0,7170,2.0,179000.0
187.0,3.0,3078,4.0,300000.0
155.0,3.0,7190,4.0,220000.0
210.0,4.0,1410,4.0,545000.0
240.0,3.0,2060,2.0,499000.0
183.0,4.0,4610,3.0,135000.0
234.0,4.0,9520,2.0,274000.0
158.0,3.0,9255,3.0,359000.0
210.0,5.0,1332,2.0,415000.0
370.0,4.0,1030,2.0,745000.0
173.0,3.0,4020,3.0,315000.0
100.0,2.0,6224,3.0,280000.0
220.0,4.0,1210,2.0,425000.0
107.0,3.0,1150,3.0,475000.0
100.0,2.0,6224,3.0,280000.0
120.0,3.0,1370,2.0,240000.0
224.0,3.0,2000,2.0,519000.0
115.0,2.0,7390,3.0,120000.0
155.0,3.0,7190,4.0,220000.0
155.0,4.0,3800,2.0,375000.0
290.0,5.0,1060,2.0,910000.0
149.0,3.0,2860,2.0,284000.0
140.0,3.0,7618,4.0,235000.0
200.0,3.0,6760,3.0,285000.0
400.0,5.0,4400,4.0,549000.0
200.0,5.0,4550,4.0,379000.0
285.0,3.0,6180,2.0,275000.0
95.0,2.0,4430,3.0,195000.0
183.0,4.0,4610,3.0,135000.0
144.0,3.0,4624,4.0,140000.0
155.0,3.0,7190,4.0,220000.0
183.0,4.0,4610,3.0,135000.0
189.0,3.0,1070,2.0,395000.0
172.0,2.0,9550,2.0,230000.0
173.0,3.0,4020,3.0,315000.0
120.0,3.0,1420,4.0,465000.0
195.0,5.0,3090,4.0,689000.0
193.0,3.0,2640,2.0,464000.0
160.0,4.0,1180,2.0,430000.0
118.0,3.0,1180,2.0,440000.0
80.0,2.0,4031,2.0,139000.0
236.0,3.0,7022,3.0,240000.0
155.0,3.0,7190,4.0,220000.0
228.0,5.0,7730,4.0,449000.0
375.0,3.0,2440,2.0,498000.0
173.0,3.0,4020,3.0,315000.0
228.0,4.0,3140,4.0,540000.0
173.0,3.0,4020,3.0,315000.0
163.0,3.0,7041,3.0,200000.0
358.0,5.0,1970,3.0,895000.0
166.0,4.0,9660,4.0,219000.0
250.0,4.0,1640,3.0,599000.0
105.0,3.0,3212,2.0,200000.0
77.0,2.0,4610,3.0,229000.0
173.0,3.0,4020,3.0,315000.0
200.0,3.0,5670,3.0,155000.0
150.0,4.0,1150,3.0,850000.0
183.0,4.0,4610,3.0,135000.0
340.0,4.0,1428,4.0,849000.0
155.0,3.0,7190,4.0,220000.0
173.0,3.0,4020,3.0,315000.0
316.0,4.0,6042,2.0,199000.0
160.0,3.0,2018,2.0,589000.0
280.0,4.0,8570,4.0,895000.0
200.0,2.0,2800,3.0,693000.0
197.0,4.0,2250,3.0,289000.0
107.0,3.0,1150,3.0,475000.0
100.0,3.0,4540,3.0,215000.0
150.0,3.0,4760,4.0,319059.0
89.0,2.0,9100,2.0,129000.0
100.0,2.0,6224,3.0,280000.0
240.0,5.0,1050,2.0,825000.0
155.0,3.0,7190,4.0,220000.0
181.0,4.0,2540,4.0,669000.0
220.0,4.0,3090,4.0,867000.0
220.0,5.0,9500,4.0,469000.0
358.0,5.0,1970,3.0,895000.0
107.0,3.0,1150,3.0,475000.0
155.0,3.0,7190,4.0,220000.0
107.0,3.0,1150,3.0,475000.0
77.0,2.0,4610,3.0,229000.0
173.0,3.0,4020,3.0,315000.0
183.0,4.0,4610,3.0,135000.0
358.0,5.0,1970,3.0,895000.0
215.0,3.0,6150,4.0,249999.0
80.0,2.0,7700,2.0,135000.0
155.0,3.0,7190,4.0,220000.0
304.0,3.0,2310,4.0,519000.0
100.0,2.0,1040,2.0,550000.0
230.0,4.0,1860,3.0,585000.0
109.0,3.0,7972,3.0,210000.0
77.0,2.0,4610,3.0,229000.0
77.0,2.0,4610,3.0,229000.0
145.0,2.0,9420,4.0,275000.0
127.0,3.0,1200,3.0,490000.0
150.0,3.0,2860,4.0,450000.0
202.0,3.0,2170,2.0,399500.0
200.0,3.0,6040,2.0,145000.0
358.0,5.0,1970,3.0,895000.0
256.0,4.0,6720,3.0,200000.0
173.0,3.0,4020,3.0,315000.0
183.0,4.0,4610,3.0,135000.0
90.0,3.0,6224,2.0,109999.0
183.0,4.0,4610,3.0,135000.0
190.0,3.0,1860,4.0,690000.0
373.0,4.0,1420,4.0,795000.0
173.0,3.0,4020,3.0,315000.0
233.0,3.0,4500,4.0,490000.0
87.0,2.0,6534,4.0,275000.0
141.0,3.0,9000,2.0,355000.0
184.0,2.0,1852,4.0,429000.0
188.0,4.0,9600,2.0,219500.0
200.0,3.0,2800,2.0,555000.0
150.0,3.0,1150,2.0,615000.0
358.0,5.0,1970,3.0,895000.0
100.0,2.0,6224,3.0,280000.0
102.0,4.0,4130,4.0,309000.0
188.0,3.0,6183,3.0,189000.0
211.0,3.0,9500,2.0,325000.0
129.0,3.0,1950,3.0,510000.0
100.0,2.0,6224,3.0,280000.0
185.0,4.0,4420,2.0,249900.0
146.0,2.0,6780,2.0,229000.0
184.0,3.0,3680,4.0,285000.0
97.0,2.0,2300,2.0,235000.0
183.0,4.0,4610,3.0,135000.0
183.0,4.0,4610,3.0,135000.0
125.0,3.0,2500,2.0,330000.0
200.0,3.0,1340,4.0,950000.0
170.0,4.0,6596,4.0,330000.0
142.0,3.0,1300,4.0,535000.0
100.0,2.0,6224,3.0,280000.0
219.0,5.0,1470,4.0,595000.0
110.0,3.0,1400,2.0,260000.0
118.0,2.0,1770,2.0,165000.0
160.0,3.0,4020,3.0,129000.0
132.0,3.0,3970,2.0,145000.0
170.0,5.0,9300,3.0,389000.0
135.0,2.0,6230,3.0,169000.0
75.0,2.0,7140,2.0,100000.0
85.0,2.0,6040,3.0,89000.0
244.0,4.0,6951,4.0,350000.0
75.0,2.0,6020,2.0,120000.0
151.0,4.0,2530,3.0,398000.0
183.0,4.0,4610,3.0,135000.0
242.0,3.0,5080,4.0,350000.0
129.0,3.0,4920,4.0,294500.0
107.0,3.0,1150,3.0,475000.0
80.0,2.0,3980,4.0,99000.0
330.0,4.0,3080,3.0,599000.0
141.0,3.0,4280,3.0,239000.0
